longitude,latitude,class
9.82563,36.81855,1
3.0819,35.80751,0
7.24027,34.56991,1
1.60481,35.55047,0
6.76514,36.55581,1
10.90887,33.60776,0
3.1349,36.60116,1
3.84587,36.39551,1
1.63896,36.37794,0
2.66485,35.50831,0
8.86223,36.29562,1
5.54056,34.39751,0
-0.24432,35.80213,1
-0.17084,35.24752,0
9.37265,36.96191,1
3.66367,35.36143,0
3.81723,34.14343,0
2.12012,33.24393,0
7.19122,36.29572,1
9.48845,34.454,0
10.11925,35.75256,1
5.4407,36.31788,0
9.71934,33.8732,0
5.30365,36.33362,1
6.56259,37.01633,1
7.06175,36.54584,1
5.70618,34.98003,1
5.32825,36.32897,1
6.81073,35.10632,0
7.23981,34.57056,1
3.52017,35.60476,0
4.62534,34.45669,0
5.79417,36.75546,1
0.79078,35.45355,0
6.35951,35.82581,0
7.58071,34.36384,0
9.00941,36.53077,0
6.00725,36.11528,1
5.55477,36.43822,1
-0.24407,35.81434,1
2.75457,36.45805,1
1.26581,34.5239,0
-0.23589,35.80971,1
5.49594,33.48795,0
8.91875,36.77628,1
7.73205,36.79962,1
6.41459,36.79747,1
1.17412,36.47999,0
3.96664,34.82541,0
4.48476,33.13636,0
-0.70665,35.72169,1
8.17237,35.23018,1
-0.23885,35.81042,1
6.0637,35.45428,0
7.0558,35.13548,0
3.95744,36.77853,1
2.67107,36.40094,1
-1.1073,34.81986,1
8.36249,35.66309,0
4.67107,35.78183,1
7.61973,36.20824,1
9.343,34.9366,0
7.67028,36.75709,1
4.14402,36.62579,1
9.94553,36.25283,0
3.39106,36.67986,1
10.03499,33.91882,1
2.94334,36.71991,1
5.26693,36.55734,1
1.8685,35.73727,0
-1.1728,33.347,0
2.56064,35.75317,0
9.52136,37.26415,1
-2.00833,33.89608,0
8.84121,34.53036,1
10.61604,36.77938,0
2.94403,34.72319,0
7.8107,35.67736,0
6.04853,36.58998,1
-0.24192,35.81063,1
2.75859,36.6699,1
-0.2267,35.80582,1
4.74489,36.64977,1
6.025,35.86682,1
6.89777,36.27981,1
1.52249,36.072,0
9.8056,36.82566,1
2.45584,33.36775,0
3.38525,34.39473,0
2.7515,34.30055,0
-0.23228,35.81039,1
3.76004,36.36766,1
3.07917,36.75116,1
6.81718,36.44555,1
4.22352,35.53737,1
6.87193,33.99523,0
5.79525,36.47799,1
6.87097,35.54945,1
5.69293,35.65575,0
5.64398,35.90526,0
-0.66685,35.08086,1
-0.23578,35.80865,1
5.27839,34.74515,1
4.38768,36.4841,0
7.17641,36.5248,1
2.35116,36.25371,1
-0.25292,35.74749,1
2.59703,35.07745,0
4.18153,36.63559,1
10.11906,34.9653,1
4.47114,36.88756,1
-1.26342,33.38592,0
-0.23524,35.8103,1
7.45755,36.91965,1
1.99195,34.46993,0
4.61253,35.56103,0
9.11771,37.01669,1
5.64577,35.09335,1
-0.28115,35.52833,1
0.42122,35.16975,0
10.0811,33.92797,1
5.08454,36.52993,1
5.20456,36.53535,1
2.46991,36.46804,1
-0.71189,35.52224,1
-0.268,35.81701,1
8.48719,33.39713,0
4.58423,36.65247,1
5.89139,36.62701,1
8.52982,34.93665,1
3.50083,35.6708,0
3.00944,36.67956,1
4.15682,35.79548,0
5.58359,35.53309,1
4.61536,34.13017,0
8.67268,34.25348,0
1.35646,35.34062,1
6.74903,35.88391,1
5.51964,36.12455,1
10.00231,34.13002,0
8.54642,33.36292,1
3.17747,36.52171,1
-0.23791,35.812,1
-1.2442,34.50501,0
5.70366,36.59962,0
4.59348,36.65635,1
10.09418,37.05949,1
3.31326,36.40651,1
7.49757,34.08008,0
-0.24409,35.80835,1
5.00188,36.7792,1
8.52841,34.93875,1
1.05098,36.2558,0
10.69054,34.80993,1
2.6597,33.87237,1
-0.01862,35.54624,0
5.77475,36.45286,1
7.47462,34.967,0
6.44024,35.69776,0
0.20143,35.0715,0
4.58814,36.65572,1
9.61777,33.2836,0
-1.38997,33.15625,0
0.14273,33.47387,0
9.77634,37.27153,1
2.54159,34.97114,0
-0.23791,35.8104,1
0.83841,35.10658,0
6.16394,36.27272,1
-0.00818,35.76959,1
0.14651,35.79341,0
10.76154,34.92289,1
10.75252,34.99607,0
-1.17624,35.5013,0
-0.93662,35.56453,1
-0.27103,35.82032,1
4.21252,36.64793,1
1.83847,33.44494,0
6.49483,34.82093,0
5.11035,34.38988,1
10.16858,36.6211,0
9.80732,36.82311,1
9.21821,37.02068,1
3.3127,33.13495,1
3.56523,35.12594,0
7.44154,33.86786,0
4.56066,36.72142,1
3.22632,36.63043,1
-1.66305,34.16729,0
9.41621,36.94659,1
9.72675,36.34266,1
10.32776,35.38826,0
8.89931,33.43581,0
8.79835,34.37938,1
-1.15807,35.17614,0
8.21227,34.9246,0
5.5291,33.32968,0
9.29023,37.22049,1
-1.02496,34.71792,0
0.62932,33.58928,0
6.02924,35.86618,1
3.09944,36.60064,1
-0.23651,35.81144,1
9.6851,33.52908,1
-0.83374,34.20166,0
-1.65666,34.69372,0
1.53086,35.80848,0
7.92804,35.66166,0
2.70394,33.50726,0
5.78603,36.26019,1
2.346,33.47211,0
3.32843,36.75716,1
2.18672,35.2663,1
-0.26727,35.81711,1
7.3079,34.62696,1
2.83934,36.49262,1
7.71067,36.80101,1
6.96501,35.01436,1
8.35868,35.69833,1
10.28042,36.16068,1
11.05928,36.94554,0
8.83595,33.26818,0
3.28204,35.18932,0
0.33116,34.80014,1
9.00295,37.03173,0
2.14252,35.07134,0
8.57648,34.44622,0
-0.25761,35.77311,1
5.48106,36.33813,1
8.08006,34.63508,0
7.92424,36.55611,0
9.86243,34.21329,0
1.23255,36.12906,1
3.3287,36.58554,1
1.35803,35.34,1
5.17399,35.61702,0
6.10899,36.63084,1
8.51089,35.27094,1
-1.92689,33.10401,0
3.76438,36.3681,1
1.56752,33.47072,0
10.00603,36.75016,1
-0.24049,35.81025,1
6.45654,36.36346,1
4.0402,36.61977,0
1.95228,35.48453,0
1.10158,34.57218,0
0.1222,33.59603,0
8.82662,34.35762,1
5.36558,36.51237,1
8.50489,36.59296,1
-0.2407,35.80866,1
1.35591,36.1309,1
-1.27262,33.53822,0
-0.23271,35.81031,1
7.07839,33.64822,0
8.35363,34.17015,0
6.30903,35.64635,1
