longitude,latitude,class
5.53337,35.70751,1
2.46763,36.4938,1
2.47313,36.49316,1
2.46726,36.49249,1
2.47275,36.49182,1
-0.26469,35.62561,1
5.10458,34.66615,1
2.47095,36.49013,1
2.4701,36.49344,1
2.47038,36.49175,1
-0.259,35.77809,1
3.37093,33.03992,1
3.37008,33.03994,1
2.46768,36.49445,1
2.47194,36.49315,1
5.63719,36.52388,1
-0.98572,35.61746,1
-0.98777,35.61503,1
5.57122,36.18074,1
2.4638,36.49173,1
6.76943,36.55998,1
-0.25653,35.77266,1
2.46901,36.49303,1
-0.25761,35.77311,1
2.47181,36.48978,1
2.46939,36.49263,1
-1.90322,34.86339,1
2.47058,36.4922,1
-0.89872,34.86406,1
6.07631,35.48929,1
5.88401,34.4412,1
-0.26806,35.80895,1
-1.65646,34.62424,1
-1.34115,35.31086,1
-0.59424,35.50997,1
-0.20642,33.09658,1
7.70588,36.78705,1
5.49884,36.16796,1
4.74489,36.64977,1
3.74372,36.18412,1
4.50706,36.83259,1
4.50659,36.83256,1
0.32922,34.79844,1
4.02106,36.31458,1
6.32219,36.64869,1
7.36744,36.84657,1
4.48763,36.85779,1
3.53856,36.67799,1
7.36769,36.84068,1
-1.34159,35.31194,1
-0.59293,35.50983,1
6.84412,33.40137,1
5.63576,35.14898,1
2.68165,36.61966,1
1.95518,36.55723,1
4.47266,36.87138,1
6.74402,36.9488,1
6.20723,36.59489,1
5.97969,36.59901,1
5.9484,36.59603,1
5.26807,36.5534,1
5.27139,36.5578,1
5.26693,36.55734,1
5.68216,36.7063,1
6.75142,36.83382,1
4.30476,36.87276,1
5.00379,36.77668,1
4.99777,36.77604,1
5.00188,36.7792,1
5.00324,36.78063,1
4.99594,36.77861,1
2.81082,36.58563,1
5.63467,36.19465,1
7.42489,36.50715,1
6.64426,36.8214,1
6.29472,36.84596,1
3.74511,36.18373,1
5.47915,36.33093,1
3.32498,33.18111,1
3.32889,33.18209,1
5.75535,35.35413,1
3.32158,33.18429,1
3.327,33.18305,1
3.32458,33.18246,1
3.32182,33.18524,1
-0.74016,35.21134,1
3.3237,33.1838,1
4.56631,36.38615,1
2.31416,35.91054,1
3.22761,33.01892,1
-1.20909,34.95646,1
-1.29791,34.9435,1
-0.34761,33.47396,1
3.22537,33.01898,1
4.92146,36.40884,1
2.87478,36.60128,1
-0.20288,35.50283,1
-0.20396,35.50445,1
-0.25753,35.77327,1
8.54329,36.80442,1
6.43092,36.9475,1
6.94368,35.32933,1
3.30963,33.13372,1
-1.62101,34.91662,1
5.08655,35.82071,1
5.77309,36.24802,1
4.08916,36.59569,1
6.96613,36.88305,1
4.56712,36.76893,1
5.02872,36.45522,1
5.49827,36.07041,1
4.76967,36.03644,1
5.1992,36.50336,1
5.19994,36.50008,1
4.06829,36.87158,1
-0.86551,35.55917,1
4.43867,36.79538,1
7.69754,36.79238,1
7.30695,36.75873,1
0.47399,35.7388,1
-0.34583,33.47398,1
4.74103,36.4124,1
0.80034,35.92949,1
6.24782,36.74946,1
2.74834,36.47523,1
2.25469,35.40852,1
6.33416,36.67313,1
5.71615,36.42075,1
3.81348,36.54803,1
0.29503,35.28073,1
5.15325,36.55531,1
2.88447,36.47778,1
2.88642,36.47662,1
5.15306,36.55386,1
5.15542,36.55556,1
1.57917,36.00485,1
8.03182,36.84272,1
4.93691,36.47406,1
0.3017,35.53842,1
0.30004,35.52755,1
4.45683,36.68664,1
5.46872,36.55151,1
6.03381,33.53244,1
5.53788,36.64084,1
2.75457,36.45805,1
5.91799,33.96935,1
5.92037,33.96753,1
6.37805,36.15214,1
6.46533,35.05682,1
4.59533,36.50841,1
5.71379,36.41732,1
7.0513,36.8796,1
2.81337,36.49327,1
6.25301,36.75202,1
7.66921,36.77705,1
7.71067,36.80101,1
3.03329,35.32893,1
1.23704,36.13389,1
7.67061,36.78016,1
-0.25192,35.76586,1
3.05277,35.33597,1
3.38421,35.78942,1
7.30627,36.76706,1
6.61973,36.43576,1
6.46534,35.06173,1
6.46931,35.06278,1
6.46817,35.05972,1
6.4695,35.05787,1
1.129,36.48316,1
1.12477,36.48384,1
7.70651,36.78663,1
6.259,36.74913,1
5.41286,34.78392,1
-0.16799,35.02346,1
3.86315,35.61429,1
5.2732,34.74941,1
6.45534,35.05968,1
-0.2622,35.62646,1
5.25402,34.68085,1
6.09437,33.19572,1
5.33309,36.64012,1
0.43459,35.96243,1
5.92788,34.76452,1
6.04715,36.58567,1
4.82068,36.87068,1
4.81661,36.87041,1
5.33268,36.64083,1
-0.26996,35.77235,1
6.52203,34.50237,1
3.83492,36.90831,1
3.33463,33.06904,1
5.97788,33.97311,1
6.86553,33.74327,1
-0.24102,35.80457,1
-0.34617,33.47418,1
6.85915,33.26916,1
-0.25906,35.77485,1
6.94165,36.8445,1
3.37681,33.12307,1
6.5117,36.29276,1
2.81177,36.61908,1
-0.58575,35.20779,1
2.9271,36.14429,1
2.18672,35.2663,1
-0.24432,35.80213,1
6.02117,35.48483,1
4.93543,36.47992,1
6.57161,36.01392,1
6.33593,36.67252,1
4.93773,36.47688,1
5.06802,36.69995,1
-0.70356,35.52148,1
-0.39518,35.73451,1
5.91963,33.59661,1
5.1521,34.6036,1
8.17279,35.23016,1
6.87097,35.54945,1
5.8929,34.44143,1
2.75178,36.47163,1
3.13207,36.70758,1
2.65147,36.47307,1
6.51151,36.29058,1
6.06705,33.12347,1
6.83401,36.57151,1
3.31071,36.73428,1
6.25493,36.73245,1
3.31522,36.73506,1
5.91495,35.52045,1
6.16848,36.13419,1
7.70762,36.2751,1
6.17076,36.13475,1
3.18031,36.70549,1
-0.92357,35.5529,1
-0.92178,35.55524,1
7.21203,36.74678,1
-0.91998,35.55388,1
5.88874,34.4386,1
2.2894,35.39061,1
-0.59365,34.7615,1
2.7507,36.47145,1
3.51204,36.65226,1
6.7501,36.17648,1
5.96156,34.00544,1
5.89243,34.43966,1
5.89302,34.43914,1
5.70534,36.11044,1
3.31249,36.73679,1
3.31333,36.73352,1
6.69589,36.44449,1
6.6939,36.44548,1
5.80639,35.06609,1
2.28682,35.39194,1
-0.33648,35.8065,1
