longitude,latitude,class
5.53337,35.70751,1
6.46961,32.13579,1
6.9763,32.35563,1
9.39581,28.19791,1
9.49323,28.12826,1
7.86009,27.91985,1
7.02693,30.47348,1
7.0226,30.47437,1
6.78554,31.1876,1
6.05296,31.35859,1
6.04889,31.36055,1
0.4631,27.79832,1
7.86322,27.92,1
9.3965,28.19779,1
9.39933,28.19753,1
7.76231,30.35671,1
7.76178,30.36099,1
7.02669,30.47252,1
2.46763,36.4938,1
2.47313,36.49316,1
2.46726,36.49249,1
2.47275,36.49182,1
-0.26469,35.62561,1
6.78959,31.18981,1
6.78476,31.18718,1
7.02324,30.47412,1
7.02248,30.47078,1
9.39438,28.19899,1
7.8608,27.92043,1
0.4619,27.79948,1
7.02566,30.47064,1
6.78845,31.18617,1
5.95301,31.56365,1
5.10458,34.66615,1
2.47095,36.49013,1
2.4701,36.49344,1
2.47038,36.49175,1
-0.259,35.77809,1
3.37093,33.03992,1
7.0227,30.47201,1
6.78677,31.18744,1
6.7874,31.19101,1
6.0503,31.36148,1
4.99787,31.94213,1
6.47193,32.13578,1
6.46686,32.13642,1
6.70336,32.3745,1
6.97702,32.35477,1
6.97765,32.35836,1
3.37008,33.03994,1
9.39691,28.19632,1
9.39757,28.19961,1
2.46768,36.49445,1
7.02495,30.47275,1
9.39756,28.19634,1
1.65336,26.62008,1
3.44971,32.88711,1
2.47194,36.49315,1
5.63719,36.52388,1
-0.98572,35.61746,1
-0.98777,35.61503,1
5.57122,36.18074,1
2.4638,36.49173,1
6.76943,36.55998,1
6.46691,32.13778,1
4.99723,31.94126,1
7.02655,30.47149,1
7.02121,30.47202,1
7.02313,30.47257,1
6.78919,31.18983,1
6.78352,31.19036,1
6.97641,32.35846,1
7.85788,27.92517,1
9.3977,28.19977,1
7.54214,28.41751,1
-0.25653,35.77266,1
2.46901,36.49303,1
6.46531,32.14075,1
-0.25761,35.77311,1
4.9967,31.93873,1
4.99885,31.9433,1
0.46132,27.80072,1
8.80004,27.11956,1
9.39925,28.19555,1
7.85991,27.91968,1
7.85185,30.33386,1
7.02501,30.472,1
3.44986,32.88805,1
6.78688,31.18681,1
5.91369,31.24645,1
6.08889,31.32097,1
6.08763,31.32143,1
6.20633,31.65355,1
2.47181,36.48978,1
-0.0936,28.24087,1
-0.09697,28.24059,1
6.97794,32.36055,1
6.46278,32.13966,1
6.46874,32.13938,1
6.22065,31.72066,1
5.22101,31.75647,1
6.22022,31.71426,1
6.22082,31.71898,1
6.05766,31.66922,1
5.95165,31.59625,1
6.78165,31.1888,1
6.78715,31.18851,1
5.75452,30.97973,1
5.63642,30.88144,1
7.02041,30.47209,1
7.86051,27.92269,1
9.39588,28.20148,1
9.49443,28.13088,1
7.85568,27.92659,1
7.85986,27.92629,1
7.85632,27.92302,1
4.99834,31.94028,1
6.22359,31.71703,1
6.46711,32.13417,1
6.97399,32.35504,1
6.98057,32.35936,1
6.98372,32.36103,1
6.97925,32.36221,1
7.85942,27.92573,1
6.78436,31.1899,1
6.78897,31.18867,1
6.78541,31.18863,1
7.02125,30.47279,1
7.02618,30.47148,1
7.02387,30.47451,1
7.8573,27.91934,1
7.86024,27.91975,1
9.39311,28.1968,1
9.39476,28.19866,1
0.46256,27.7994,1
7.86478,27.92093,1
7.86569,27.92145,1
1.6535,26.61886,1
7.86628,27.92175,1
8.94066,28.71703,1
9.39366,28.20209,1
9.48983,28.12926,1
2.46939,36.49263,1
7.02438,30.4701,1
7.02569,30.47457,1
6.79073,31.18813,1
6.78575,31.18921,1
6.05064,31.36026,1
4.99967,31.94004,1
9.49365,28.12597,1
7.65079,28.57523,1
9.39433,28.1962,1
9.39331,28.19709,1
7.86131,27.92341,1
7.85799,27.92418,1
0.45982,27.79857,1
1.65362,26.61917,1
9.39732,28.19629,1
-1.90322,34.86339,1
2.47058,36.4922,1
6.7889,31.18708,1
6.78445,31.18788,1
6.78974,31.19052,1
6.98031,32.35854,1
6.97501,32.35592,1
6.46891,32.13521,1
0.46215,27.79878,1
7.86253,27.91953,1
7.85721,27.92058,1
7.85813,27.92436,1
9.49347,28.12993,1
9.49599,28.12667,1
9.3985,28.19873,1
9.3943,28.19959,1
6.65859,29.17649,1
7.86277,27.91993,1
