longitude,latitude,class
9.23018,35.09261,0
5.60547,33.50662,0
11.11005,33.48151,1
7.48122,36.53608,0
4.54391,36.71546,1
4.86043,36.09051,1
4.07055,34.12395,0
8.61479,36.75546,1
3.24131,36.73895,1
-0.56537,34.28301,0
7.17928,34.43378,1
2.88642,36.47662,1
1.63305,33.01781,0
9.29466,37.03559,1
6.22853,36.65769,1
5.57609,35.54871,0
2.5991,34.7133,0
3.87373,36.09375,0
6.43821,35.84272,0
4.17963,36.63813,1
4.28882,33.64183,0
10.83112,33.40681,0
6.70235,36.57692,1
-0.92178,35.55524,1
1.40718,34.83824,0
8.73771,34.29426,1
3.42718,36.49427,1
5.10841,34.39095,1
6.15229,34.82702,0
7.40749,34.03008,0
2.22444,34.16748,0
4.71393,35.47942,0
1.46891,33.80073,0
10.20876,35.55254,1
9.67367,37.28048,0
2.50491,33.10065,0
3.45143,36.71125,1
9.24831,36.56327,1
8.5427,33.3684,1
7.30908,34.62714,1
1.99448,34.59179,0
0.55874,33.32422,0
2.72135,36.55607,0
4.55064,36.71601,1
-1.10403,35.51065,1
4.44982,35.87755,1
7.06207,36.49974,0
0.16037,33.08152,0
5.27839,34.74515,1
10.21957,35.39442,0
5.83933,36.25446,0
8.85045,33.77949,0
6.92317,36.60532,0
10.07625,36.33511,0
5.24387,34.71735,1
5.48915,36.50098,0
8.98671,35.93695,0
3.82416,36.81805,1
10.26064,35.00197,0
-1.25997,35.07658,0
-0.21214,35.01152,0
7.67267,35.42374,0
7.23878,34.57116,1
3.75819,33.48485,0
10.40184,34.96999,1
4.87377,34.58568,0
4.32489,34.2103,0
4.43485,36.89654,1
9.30501,35.04522,0
-0.66685,35.08086,1
2.7507,36.47145,1
-0.26555,35.76459,1
7.35944,36.49158,0
2.89202,36.59692,1
-0.20288,35.50283,1
8.5388,35.72027,0
2.69465,36.2716,1
10.94879,33.44632,0
9.63024,35.91165,0
6.32666,34.80213,0
8.35228,35.47215,1
2.75801,36.67139,1
9.54831,33.60397,0
8.04505,35.38662,1
6.09544,35.23218,0
0.29478,33.42769,0
-0.45388,35.69924,1
9.79839,35.4817,0
-0.26806,35.80895,1
3.36751,33.48651,0
2.20132,34.17754,0
4.15409,33.81059,0
1.35708,35.33971,1
6.8739,34.47677,0
3.32759,36.67812,0
6.752,35.84381,0
6.42064,36.79866,1
10.67519,34.74155,1
3.79848,34.25929,0
4.26159,36.79288,1
4.12636,36.62633,1
9.22498,37.01746,1
4.54946,36.72961,1
3.44283,36.28972,0
6.62575,36.39282,1
2.29195,36.21386,1
6.9042,34.44403,1
7.72984,36.31142,1
-0.25761,35.77311,1
10.10515,36.73108,1
5.56243,36.18453,0
3.8815,35.72548,1
-0.53498,34.71289,0
6.34805,34.08179,0
9.62106,37.28697,0
1.24222,33.34923,0
8.98365,35.10127,0
10.80179,34.86882,1
8.92747,33.48034,0
8.40749,34.85172,0
1.6431,35.93821,0
