Feature,Correlation,F_Score,MI_Score,Importance,Correlation_norm,F_Score_norm,MI_Score_norm,Importance_norm,Composite_Score
coastal_proximity,0.4814054877493597,1981.314197498301,0.23602450416042475,0.1479962633228515,1.0,1.0,0.7081598050700542,1.0,0.9270399512675136
prec_winter,0.42921294321417214,1483.2272881350402,0.31461177770375093,0.08386902566498403,0.8465040455681616,0.7303781222218556,1.0,0.5579621135903846,0.7837110703451005
diurnal_temp_range,0.3958191323309139,1220.1988002054675,0.29768882678545894,0.06324553867050436,0.7482943315315855,0.5879968761148717,0.93715525336222,0.4158015756599389,0.6723120091671541
tmax_summer,0.3631866875006928,997.9884534024908,0.20813345848440723,0.06562081446969127,0.6523237612275807,0.46771109899348146,0.6045841516609631,0.43217467907528107,0.5391984227393266
annual_temp_range,0.3065480141287863,681.2215651734216,0.2872137007447413,0.053855460785284165,0.48575193943964917,0.29624045478112243,0.8982550257833437,0.35107447477108333,0.5078304736937996
summer_heat_index,0.2521943989223796,446.11163217378703,0.27067967091826395,0.05070511477581025,0.3259003721855656,0.16897193913052638,0.8368545690684732,0.3293587055855075,0.4152713964925182
ph_carbon_interaction,0.3659308610481135,1015.4671669743088,0.11076154709679287,0.02263575291958572,0.660394253700006,0.4771725875124318,0.2429856851561275,0.13587272613337495,0.3791063131254851
tmin_winter,0.23361733849764912,379.1553185311223,0.160455309060767,0.053756903450194696,0.2712660629019957,0.132727487260639,0.427527488484793,0.3503951054783415,0.2954790360314423
ORG_CARBON,0.2982107442805491,641.1029914574799,0.10990243401575972,0.028903363872412054,0.46123239926187204,0.2745236720756684,0.2397952992611727,0.17907623215692195,0.28865690068890876
tmax_spring,0.22073386951807256,336.4064409163883,0.1553519454553769,0.04222900595690823,0.2333763530780218,0.10958688179857777,0.40857573507430817,0.2709317194228551,0.2556176723434407
elevation,0.25529231666762947,457.9076801158175,0.060618921122059355,0.06850766935310441,0.33501121062606115,0.1753573159326533,0.05677698902802117,0.45207416761778596,0.2548049208011304
lat_long_interaction,0.15238594855577897,156.14457062463637,0.1475772288019297,0.07880197605514212,0.03236815439811014,0.012008441076265919,0.3797036961122208,0.5230342423507541,0.23677863348433775
TOTAL_N,0.2801012950720078,559.1748739553032,0.10395325312997072,0.014251419364230657,0.4079733137879709,0.23017475932868608,0.21770253498649694,0.07807835950969941,0.23348224190321334
tmin_summer,0.16954449632484048,194.3870906659503,0.15788086501910703,0.04502194498489384,0.08283068098944613,0.03270968792832368,0.4179670823645824,0.29018383303156,0.20592282107847804
SAND,0.2874917213863084,591.7652663524083,0.07107312232151441,0.005955096598029476,0.42970822920308244,0.247816425131281,0.09559951051687021,0.020890663384235317,0.19850370705886722
fertility_index,0.24542139933224336,420.9564727361988,0.11625664103011535,0.012468762330779853,0.3059812813323977,0.1553550758966752,0.26339216081500194,0.06579025891406816,0.19762969423953575
roughness,0.1859510871291958,235.24115842048818,0.07382957366846843,0.04777599094832748,0.13108173555892227,0.05482460453381223,0.10583581548253962,0.30916785138654024,0.15022750174045357
fine_fraction,0.2253191268018626,351.2830678894618,0.10015708544865931,0.007277233244375732,0.2468613910151239,0.11763982200656815,0.20360515934093648,0.030004333488250694,0.1495276764627198
REF_BULK,0.21255750595257644,310.78843061206516,0.09241170417875688,0.005972787396562555,0.2093300311283149,0.09571947048270645,0.17484205969772415,0.02101260849645396,0.12522604245129987
terrain_complexity,0.15170072960797265,154.7104850578104,0.08757866573507167,0.042395628233778876,0.030352955918614644,0.011232149155812818,0.1568941806339289,0.2720802697391748,0.1176398888618828
PH_WATER,0.2188030476677926,330.25226594173165,0.07183566489706994,0.007768532778568717,0.22769789180762406,0.1062555350362961,0.09843127403096918,0.0333909288823539,0.11644390743931081
CN_RATIO,0.23308431360531498,377.3278351169089,0.04532990732194664,0.00679257139323873,0.2696984603772788,0.13173824321409594,0.0,0.026663492558176915,0.10702504903738791
GYPSUM,0.20870083487494603,299.1038390423016,0.060385644266259364,0.005318548261214262,0.19798773285060894,0.08939442667832755,0.05591069656106362,0.016502847977238253,0.0899489260168096
SILT,0.19038917931390673,247.03153287776092,0.06362468506453389,0.008154358230212799,0.1441339674785484,0.061206910193965416,0.06793913647676245,0.0360504768902956,0.07733262275989297
TCARBON_EQ,0.1672668139524713,189.05000905839384,0.09091652278179962,0.006143516121199916,0.07613211833547029,0.029820646000431744,0.16928958267861666,0.02218946512313028,0.07435795303441224
CEC_CLAY,0.15890464661241926,170.1427311452275,0.09855548776753076,0.00600241669545051,0.05153935574052382,0.019585854282781423,0.1976574968456571,0.021216847336837315,0.07249988855144991
nutrient_availability,0.1413799494322296,133.96073542833332,0.11158363756610368,0.006234255637928835,0.0,0.0,0.24603858458877476,0.022814945116556445,0.0672133824263328
COARSE,0.14997427863369328,151.12854925350763,0.0892703184744621,0.00514868417112606,0.02527554031382212,0.0092931938460427,0.1631762698699844,0.015331951395662683,0.05326923885637798
CEC_SOIL,0.15581261883279526,163.42259804893172,0.057909965622158,0.004266914130420796,0.042445839427228016,0.015948145942567077,0.04671706373093215,0.009253788990286477,0.02859120952275343
BSAT,0.14308867602453992,137.28651167516804,0.0698063746519717,0.002924450183188081,0.005025288984960519,0.0018002923182378894,0.09089534061584181,0.0,0.024430230479760055
