latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,pays
27.72818,9.872,295.51,0.76,0.77,2024-01-01,3,N20,VIIRS,n,2,277.66,1.24,N,2,Algeria
28.63288,9.77909,301.8,0.79,0.78,2024-01-01,3,N20,VIIRS,n,2,277.05,1.57,N,2,Algeria
28.64012,9.77953,298.65,0.79,0.78,2024-01-01,3,N20,VIIRS,n,2,277.04,1.34,N,2,Algeria
36.74886,6.25409,338.04,0.46,0.39,2024-01-01,141,N20,VIIRS,n,2,257.28,5.21,N,2,Algeria
35.87978,4.44782,309.49,0.41,0.37,2024-01-01,141,N20,VIIRS,n,2,272.08,1.58,N,2,Algeria
35.70751,5.53337,312.32,0.45,0.39,2024-01-01,141,N20,VIIRS,n,2,268.88,1.25,N,0,Algeria
32.27667,3.98647,311.93,0.43,0.38,2024-01-01,142,N20,VIIRS,n,2,278.7,1.15,N,2,Algeria
32.40079,4.00642,304.0,0.43,0.38,2024-01-01,142,N20,VIIRS,n,2,277.15,0.77,N,2,Algeria
32.4026,4.00461,306.45,0.43,0.38,2024-01-01,142,N20,VIIRS,n,2,277.38,0.85,N,2,Algeria
32.55605,3.1675,330.78,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,278.76,3.48,N,2,Algeria
32.74046,3.17942,297.47,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,275.26,0.69,N,2,Algeria
32.74119,3.17515,305.0,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,276.05,0.69,N,2,Algeria
32.74716,3.18104,317.33,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,277.72,1.68,N,2,Algeria
32.13579,6.46961,326.8,0.56,0.43,2024-01-01,142,N20,VIIRS,n,2,279.44,5.52,N,0,Algeria
32.93067,3.24417,299.95,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,274.56,0.77,N,2,Algeria
32.93215,3.23561,297.37,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,274.23,0.9,N,2,Algeria
32.93437,3.2228,296.73,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,277.43,0.78,N,2,Algeria
32.93624,3.23216,297.6,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,275.62,0.79,N,2,Algeria
32.94369,3.22952,296.67,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,274.62,0.48,N,2,Algeria
32.94704,3.23033,303.29,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,274.51,0.48,N,2,Algeria
32.35563,6.9763,341.76,0.39,0.44,2024-01-01,142,N20,VIIRS,n,2,280.66,10.25,N,0,Algeria
33.12337,3.31486,298.06,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,275.69,0.75,N,2,Algeria
33.12598,3.31998,311.03,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,276.51,1.62,N,2,Algeria
33.13417,3.31306,297.1,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,273.64,0.5,N,2,Algeria
33.13528,3.36712,297.75,0.41,0.37,2024-01-01,142,N20,VIIRS,n,2,274.45,0.73,N,2,Algeria
34.43677,2.05904,299.04,0.38,0.36,2024-01-01,142,N20,VIIRS,n,2,274.01,1.02,N,2,Algeria
34.97971,5.71668,302.43,0.46,0.39,2024-01-01,142,N20,VIIRS,n,2,276.16,0.76,N,2,Algeria
